date,hits,keyword,geo,gprop,category
2018-01-07T05:00:00Z,35,"""juice laundry""",US,web,0
2018-01-14T05:00:00Z,45,"""juice laundry""",US,web,0
2018-01-21T05:00:00Z,61,"""juice laundry""",US,web,0
2018-01-28T05:00:00Z,61,"""juice laundry""",US,web,0
2018-02-04T05:00:00Z,86,"""juice laundry""",US,web,0
2018-02-11T05:00:00Z,61,"""juice laundry""",US,web,0
2018-02-18T05:00:00Z,52,"""juice laundry""",US,web,0
2018-02-25T05:00:00Z,78,"""juice laundry""",US,web,0
2018-03-04T05:00:00Z,52,"""juice laundry""",US,web,0
2018-03-11T05:00:00Z,53,"""juice laundry""",US,web,0
2018-03-18T04:00:00Z,53,"""juice laundry""",US,web,0
2018-03-25T04:00:00Z,100,"""juice laundry""",US,web,0
2018-04-01T04:00:00Z,63,"""juice laundry""",US,web,0
2018-04-08T04:00:00Z,70,"""juice laundry""",US,web,0
2018-04-15T04:00:00Z,61,"""juice laundry""",US,web,0
2018-04-22T04:00:00Z,88,"""juice laundry""",US,web,0
2018-04-29T04:00:00Z,53,"""juice laundry""",US,web,0
2018-05-06T04:00:00Z,97,"""juice laundry""",US,web,0
2018-05-13T04:00:00Z,72,"""juice laundry""",US,web,0
2018-05-20T04:00:00Z,37,"""juice laundry""",US,web,0
2018-05-27T04:00:00Z,84,"""juice laundry""",US,web,0
2018-06-03T04:00:00Z,55,"""juice laundry""",US,web,0
2018-06-10T04:00:00Z,54,"""juice laundry""",US,web,0
2018-06-17T04:00:00Z,37,"""juice laundry""",US,web,0
2018-06-24T04:00:00Z,47,"""juice laundry""",US,web,0
2018-07-01T04:00:00Z,38,"""juice laundry""",US,web,0
2018-07-08T04:00:00Z,55,"""juice laundry""",US,web,0
2018-07-15T04:00:00Z,94,"""juice laundry""",US,web,0
2018-07-22T04:00:00Z,47,"""juice laundry""",US,web,0
2018-07-29T04:00:00Z,56,"""juice laundry""",US,web,0
2018-08-05T04:00:00Z,92,"""juice laundry""",US,web,0
2018-08-12T04:00:00Z,56,"""juice laundry""",US,web,0
2018-08-19T04:00:00Z,37,"""juice laundry""",US,web,0
2018-08-26T04:00:00Z,55,"""juice laundry""",US,web,0
2018-09-02T04:00:00Z,46,"""juice laundry""",US,web,0
2018-09-09T04:00:00Z,35,"""juice laundry""",US,web,0
2018-09-16T04:00:00Z,54,"""juice laundry""",US,web,0
2018-09-23T04:00:00Z,36,"""juice laundry""",US,web,0
2018-09-30T04:00:00Z,36,"""juice laundry""",US,web,0
2018-10-07T04:00:00Z,54,"""juice laundry""",US,web,0
2018-10-14T04:00:00Z,27,"""juice laundry""",US,web,0
2018-10-21T04:00:00Z,71,"""juice laundry""",US,web,0
2018-10-28T04:00:00Z,54,"""juice laundry""",US,web,0
2018-11-04T04:00:00Z,60,"""juice laundry""",US,web,0
2018-11-11T05:00:00Z,35,"""juice laundry""",US,web,0
2018-11-18T05:00:00Z,0,"""juice laundry""",US,web,0
2018-11-25T05:00:00Z,17,"""juice laundry""",US,web,0
2018-12-02T05:00:00Z,35,"""juice laundry""",US,web,0
2018-12-09T05:00:00Z,53,"""juice laundry""",US,web,0
2018-12-16T05:00:00Z,45,"""juice laundry""",US,web,0
2018-12-23T05:00:00Z,20,"""juice laundry""",US,web,0
2018-12-30T05:00:00Z,28,"""juice laundry""",US,web,0
