Category: All categories

Week,the juice laundry: (United States),"""the juice laundry"": (United States)",juice laundry: (United States),"""juice laundry"": (United States)",The Juice Laundry: (United States)
2016-10-09,10,0,10,0,0
2016-10-16,0,0,31,20,0
2016-10-23,0,0,10,0,20
2016-10-30,0,0,39,10,10
2016-11-06,0,0,0,0,10
2016-11-13,0,20,10,0,10
2016-11-20,0,0,0,0,0
2016-11-27,0,0,28,18,18
2016-12-04,0,0,100,55,27
2016-12-11,19,9,38,28,19
2016-12-18,0,0,0,0,0
2016-12-25,0,0,21,10,10
2017-01-01,10,10,39,20,20
2017-01-08,0,0,65,19,9
2017-01-15,19,28,56,28,28
2017-01-22,9,9,37,19,28
2017-01-29,9,0,27,18,0
2017-02-05,0,0,63,18,18
2017-02-12,9,18,18,9,36
2017-02-19,0,0,55,37,9
2017-02-26,17,0,52,35,26
2017-03-05,0,0,44,27,27
2017-03-12,18,9,45,27,18
2017-03-19,0,0,19,9,9
2017-03-26,0,0,27,0,9
2017-04-02,18,0,27,0,18
2017-04-09,0,0,28,19,28
2017-04-16,0,0,56,9,9
2017-04-23,36,18,73,36,9
2017-04-30,9,9,82,64,36
2017-05-07,0,0,56,28,28
2017-05-14,10,0,60,30,30
2017-05-21,10,0,40,10,0
2017-05-28,0,0,40,30,30
2017-06-04,0,20,0,0,10
2017-06-11,0,0,50,10,0
2017-06-18,0,19,39,29,39
2017-06-25,10,10,41,0,10
2017-07-02,11,0,53,21,0
2017-07-09,10,0,61,41,31
2017-07-16,10,0,30,20,20
2017-07-23,0,0,20,10,31
2017-07-30,0,0,29,20,20
2017-08-06,0,0,19,0,19
2017-08-13,0,0,30,30,10
2017-08-20,10,10,38,19,38
2017-08-27,19,9,47,38,66
2017-09-03,18,9,46,37,28
2017-09-10,0,9,64,28,37
2017-09-17,9,19,37,28,28
2017-09-24,0,0,75,47,38
2017-10-01,9,9,55,28,9
2017-10-08,0,9,64,9,27
2017-10-15,0,0,46,9,0
2017-10-22,18,18,55,28,18
2017-10-29,0,9,37,9,37
2017-11-05,9,9,36,36,36
2017-11-12,0,9,36,9,9
2017-11-19,10,10,49,29,19
2017-11-26,9,0,53,35,27
2017-12-03,9,0,54,36,27
2017-12-10,0,0,18,18,27
2017-12-17,0,0,29,19,0
2017-12-24,0,0,21,10,21
2017-12-31,19,0,57,38,28
2018-01-07,9,18,27,27,45
2018-01-14,9,9,63,18,18
2018-01-21,9,18,53,44,35
2018-01-28,0,9,53,35,18
2018-02-04,0,0,26,0,9
2018-02-11,18,9,71,53,53
2018-02-18,9,0,35,18,27
2018-02-25,17,0,78,70,44
2018-03-04,0,0,18,9,0
2018-03-11,0,9,53,26,27
2018-03-18,0,18,63,36,18
2018-03-25,0,18,55,37,46
2018-04-01,9,0,64,28,28
2018-04-08,9,0,36,9,27
2018-04-15,27,9,90,81,54
2018-04-22,0,9,72,36,45
2018-04-29,18,27,63,45,36
2018-05-06,0,0,45,36,27
2018-05-13,0,9,9,0,37
2018-05-20,19,19,57,38,9
2018-05-27,0,19,38,19,38
2018-06-03,9,9,19,19,28
2018-06-10,0,0,9,9,18
2018-06-17,28,9,47,9,9
2018-06-24,10,10,48,19,19
2018-07-01,0,0,29,10,10
2018-07-08,9,9,28,19,28
2018-07-15,0,10,39,39,58
2018-07-22,19,9,38,38,19
2018-07-29,28,0,38,19,38
2018-08-05,9,9,9,9,28
2018-08-12,47,9,76,28,28
2018-08-19,28,19,38,28,19
2018-08-26,9,0,28,9,19
2018-09-02,9,9,46,28,28
2018-09-09,9,0,36,27,18
2018-09-16,18,9,63,36,18
2018-09-23,0,9,63,36,18
2018-09-30,0,0,9,9,36
2018-10-07,0,0,18,9,0
2018-10-14,0,0,46,19,9
2018-10-21,18,0,55,18,0
2018-10-28,0,9,37,9,18
2018-11-04,26,9,52,26,9
2018-11-11,27,9,73,36,18
2018-11-18,19,0,38,10,0
2018-11-25,26,0,69,26,17
2018-12-02,9,0,27,18,18
2018-12-09,9,0,9,0,36
2018-12-16,18,9,55,18,18
2018-12-23,0,0,31,21,21
2018-12-30,0,0,19,0,19
